pmid	gene_set_name	target_id	disease_id	disease_name	score
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000156709	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000136710	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000179409	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000152147	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000147874	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000123349	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000099821	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000137168	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000085415	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000187555	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000163528	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	40.8333
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000110092	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	79.7813
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000130725	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	58.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000111142	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	57.9375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000152234	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	54.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000165501	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	52.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000143774	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	52.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000147162	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	52.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000109971	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	52.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000100749	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	51.6944
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000164162	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	51.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000149806	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	51.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000109618	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	51.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000141556	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	51.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000170855	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	50.2813
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000164654	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	49.9167
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000135446	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	49.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000123485	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	49.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000095059	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	49.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000105486	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	49.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000164024	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	49.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000108559	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48.875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000168374	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000138107	http://www.ebi.ac.uk/efo/EFO_0000637	Osteosarcoma	48.6563
